alias_name,machine_id,formal_machine_name,confidence_score,memo
PLT激デジ ジューシーハニー極嬢 77LT-ARB,P_457829fbd6,PLT激デジ ジューシーハニー極嬢 77LT-ARB,1.0,初期自動登録
PYRAMID EYE,P_64eddada20,PYRAMID EYE,1.0,初期自動登録
P【超甘LT】江頭2:50inナナシー 奇跡の99%,P_9b2e7843bb,P【超甘LT】江頭2:50inナナシー 奇跡の99%,1.0,初期自動登録
P【超甘LT】華牌RR 1/49×99de遊タイム,P_f8e4f6afe5,P【超甘LT】華牌RR 1/49×99de遊タイム,1.0,初期自動登録
P【超甘LT】豊丸のとあるパチンコにしみけん参戦 感度UP1/39,P_451dc67c85,P【超甘LT】豊丸のとあるパチンコにしみけん参戦 感度UP1/39,1.0,初期自動登録
Pあの日見た花の名前を僕達はまだ知らない。 SLJA,P_be16110f0f,Pあの日見た花の名前を僕達はまだ知らない。 SLJA,1.0,初期自動登録
Pあぶない刑事 129ver.,P_d9b4346b51,Pあぶない刑事 129ver.,1.0,初期自動登録
Pあぶない刑事 M4-Z YT900,P_569d6825e3,Pあぶない刑事 M4-Z YT900,1.0,初期自動登録
Pいくさの子 織田三郎信長伝 GFPF,P_35db4b85db,Pいくさの子 織田三郎信長伝 GFPF,1.0,初期自動登録
Pうしおととら～超獣SPEC～ FM-JH,P_1b6493d84e,Pうしおととら～超獣SPEC～ FM-JH,1.0,初期自動登録
Pうまい棒 4500から10500 V1,P_aff8e215b5,Pうまい棒 4500から10500 V1,1.0,初期自動登録
Pうまい棒 4500～10500,P_1512734a20,Pうまい棒 4500～10500,1.0,初期自動登録
Pうまい棒2 V3,P_6a517fca0d,Pうまい棒2 V3,1.0,初期自動登録
Pうる星やつら～Eternal Love Song～ 129ver.,P_23a6cadd56,Pうる星やつら～Eternal Love Song～ 129ver.,1.0,初期自動登録
Pうる星やつら～Eternal Love Song～ L2-K,P_9337fd7b58,Pうる星やつら～Eternal Love Song～ L2-K,1.0,初期自動登録
Pえとたま2 神祭 MY,P_f29aea0c30,Pえとたま2 神祭 MY,1.0,初期自動登録
Pえとたま2 神祭 干支甘,P_91134436d7,Pえとたま2 神祭 干支甘,1.0,初期自動登録
Pおそ松さんの頑張れ! ゴールデンロード 625Ver.,P_4d1d859e9a,Pおそ松さんの頑張れ! ゴールデンロード 625Ver.,1.0,初期自動登録
Pおばけらんど 怪 199Ver.,P_05015ad58a,Pおばけらんど 怪 199Ver.,1.0,初期自動登録
Pおばけらんど 怪 319Ver.(威吹枠),P_e3db03213f,Pおばけらんど 怪 319Ver.(威吹枠),1.0,初期自動登録
