raw_machine_name,suggested_machine_id,suggested_formal_machine_name,suggested_category,suggested_series_name,suggested_sub_series_name,suggested_machine_type,reason,review_status
PAフィーバーダンベル何キロ持てる? Light ver.,P_703810fa4d,PAフィーバーダンベル何キロ持てる? Light ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAフィーバーパワフル R,P_b275f17941,PAフィーバーパワフル R,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAフィーバーマクロスフロンティア3 Light ver.,P_ccb4e5ac7c,PAフィーバーマクロスフロンティア3 Light ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAフィーバーマクロスフロンティア4 88ver.,P_55b1b48c1c,PAフィーバーマクロスフロンティア4 88ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAフィーバー機動戦士ガンダム 逆襲のシャア Light ver.,P_24c67e6339,PAフィーバー機動戦士ガンダム 逆襲のシャア Light ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAフィーバー機動戦士ガンダムユニコーン LIGHT ver.,P_d09f0720e9,PAフィーバー機動戦士ガンダムユニコーン LIGHT ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAフィーバー機動戦士ガンダムユニコーン 再来 99ver.,P_8417cbb82c,PAフィーバー機動戦士ガンダムユニコーン 再来 99ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAフィーバー真花月2 Light Ver.,P_31124112c9,PAフィーバー真花月2 Light Ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAフィーバー蒼穹のファフナー2 Light ver.,P_9c07ab5db6,PAフィーバー蒼穹のファフナー2 Light ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAヤッターマンVVV YBB,P_84e27f6403,PAヤッターマンVVV YBB,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAリング バースデイ 呪いの始まり FWC,P_3b4f6c448c,PAリング バースデイ 呪いの始まり FWC,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAリング 呪いの7日間2 FWA,P_8fb658aa66,PAリング 呪いの7日間2 FWA,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAワンパンマン 99ver.,P_1c5cd0e166,PAワンパンマン 99ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAヱヴァンゲリヲン13 エクストラモデル,P_3376969faa,PAヱヴァンゲリヲン13 エクストラモデル,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PA世紀末・天才バカボン～神SPEC凱旋～ 99ver.,P_2bb1bea3a2,PA世紀末・天才バカボン～神SPEC凱旋～ 99ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PA乗物娘 WITH CYBERJAPAN(R) DANCERS 77ver.,P_fa53c5b510,PA乗物娘 WITH CYBERJAPAN(R) DANCERS 77ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PA乗物娘 with CYBER JAPAN DANCERS 2nd season 77ver.,P_f5ead67a47,PA乗物娘 with CYBER JAPAN DANCERS 2nd season 77ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PA元祖ギンギラパラダイス 強99ver.,P_0dee883d0e,PA元祖ギンギラパラダイス 強99ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PA元祖大工の源さん WBE,P_e4f62df3df,PA元祖大工の源さん WBE,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PA元祖大工の源さん2 JBB,P_119e51375a,PA元祖大工の源さん2 JBB,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
