machine_id,machine_name,active_status,latest_data_date,days_since_last_seen,weeks_since_last_seen,latest_out_per_unit,latest_sales_per_unit,latest_profit_per_unit,data_count
1148,L 真・一騎当千,準現役,2025-09-10,287,41.0,5824.0,21813.0,2197.0,29
1149,Lスマスロ 鬼武者3(2024年),準現役,2025-09-10,287,41.0,2497.0,9162.0,905.0,7
1150,Lスマスロ頭文字D 2nd,準現役,2025-09-10,287,41.0,4441.0,15630.0,2286.0,15
1151,L今日から俺は!! パチスロ編,準現役,2025-09-10,287,41.0,3944.0,12275.0,205.0,15
1152,P CYBORG009 RULE OF SACRIFICE VS SCARL BODY EDITION 199,準現役,2024-12-04,567,81.0,7580.0,16870.0,4111.0,8
1153,P 宇宙戦艦ヤマト2202 超波動 G,準現役,2024-11-06,595,85.0,10200.0,23403.0,4428.0,4
1154,PAわんわんパラダイスCELEBRATION AGBD,現役,2026-06-24,0,0.0,10900.0,16876.0,2384.0,75
1155,Pフィーバー革命機ヴァルヴレイヴ3 Light ver.,準現役,2024-11-06,595,85.0,10170.0,17637.0,3180.0,4
1156,Pルパン三世 ONE COLLECTION H1YZ4,準現役,2025-02-19,490,70.0,8680.0,19883.0,3908.0,16
1157,P中森明菜・歌姫伝説～BLACK DIVA 愛～ KD-NS,準現役,2025-11-05,231,33.0,7880.0,12244.0,2390.0,27
1158,e 乃木坂46 Ⅱ K4,準現役,2024-12-04,567,81.0,7430.0,16328.0,3499.0,8
1159,P大海物語4スペシャル E,準現役,2024-10-23,609,87.0,10430.0,16685.0,2195.0,1
1160,Lスロット Re:ゼロから始める異世界生活 season2,準現役,2025-09-10,287,41.0,1995.0,9902.0,2202.0,11
1161,P弾球黙示録カイジ沼5 ざわっ・・・79Ver.,現役,2026-06-24,0,0.0,10890.0,15463.0,3406.0,82
1162,P江頭2:50inナナシーLT V3,準現役,2025-01-08,532,76.0,11390.0,21115.0,4965.0,10
1163,L 新・必殺仕置人 回胴 CRASH SPEC,準現役,2024-12-18,553,79.0,6239.0,21852.0,3267.0,6
1164,Lバンドリ!,準現役,2026-03-25,91,13.0,6898.0,25669.0,3190.0,9
1165,Pモンスターハンターライズ GRPG,準現役,2025-01-22,518,74.0,8410.0,20260.0,3496.0,10
1166,Pラブ嬢 ～極嬢のハーレム体験～ 129ver.,準現役,2025-02-05,504,72.0,8880.0,16153.0,3371.0,12
1167,Pリング 呪いの7日間3 甘デジver.,準現役,2024-12-11,560,80.0,9160.0,16430.0,3163.0,5
1168,P大海物語5スペシャル ALTA,現役,2026-06-24,0,0.0,20970.0,32782.0,2971.0,80
1169,P義風堂々!!～兼続と慶次～3 199ver.,準現役,2025-01-08,532,76.0,11050.0,22375.0,5617.0,8
1170,P転生したらスライムだった件 NB,準現役,2025-01-08,532,76.0,12480.0,24553.0,4099.0,8
1171,e スマパチ SSSS.GRIDMAN XVSM,準現役,2024-12-11,560,80.0,7900.0,19071.0,3534.0,5
