machine_id,machine_name,latest_data_date,first_seen_date,last_seen_date,certification_date,data_weeks,weeks_from_first_seen,latest_out_per_unit,avg_out_4w,avg_out_12w,avg_out_26w,avg_out_52w,avg_out_all,latest_sales_per_unit,avg_sales_4w,avg_sales_12w,avg_sales_all,latest_profit_per_unit,avg_profit_4w,avg_profit_12w,avg_profit_all,peak_out_per_unit,peak_out_date,peak_ratio,trend,life_stage,rank_out_4w,rank_sales_4w,rank_profit_4w,operation_score
53,やじきた道中記乙,2026-06-24,2019-09-04,2020-07-15,,40,355,7378.0,8605.5,8075.25,8881.115384615385,8807.05,8807.05,26676.0,32146.5,30474.75,32756.575,4549.0,6620.25,5407.666666666667,5443.9,12660.0,2020-01-08,0.5827804107424961,微増,下降期,1031.0,173.0,99.0,62.7
54,アイムジャグラーEX AnniversaryEdition,2026-06-24,2019-09-04,2022-03-09,,124,355,10820.0,10242.5,10412.5,9445.923076923076,8921.98076923077,8536.040322580646,27389.0,25495.0,26673.083333333332,21571.65322580645,7520.0,5890.0,6001.916666666667,3805.0241935483873,11817.0,2022-01-12,0.9156300245409156,横ばい,成長・高稼働期,684.0,409.0,166.0,73.3
55,アイムジャグラーEX(2017年),2026-06-24,2019-09-04,2022-03-23,,127,355,10557.0,11173.75,11428.583333333334,10717.153846153846,10184.096153846154,9398.464566929133,25951.0,27678.25,27988.166666666668,22828.984251968504,6959.0,7149.5,6320.416666666667,3648.496062992126,12773.0,2022-01-12,0.8265090425115478,横ばい,成熟期,515.0,300.0,69.0,79.0
56,アナザーゴッドハーデス-奪われたZEUSver.-,2026-06-24,2019-09-04,2019-12-25,,17,355,11907.0,11044.0,9278.333333333334,9022.29411764706,9022.29411764706,9022.29411764706,50481.0,47597.25,40447.666666666664,39365.94117647059,7402.0,7418.0,6222.25,6016.235294117647,12910.0,2019-12-18,0.9223082881487219,上昇,成長・高稼働期,534.0,27.0,51.0,83.2
57,ゴーゴージャグラー(2015年),2026-06-24,2019-09-04,2022-02-02,,120,355,7957.0,9838.25,10980.333333333334,10855.5,10594.365384615385,10018.241666666667,19396.0,22690.0,25994.833333333332,23088.1,3914.0,4444.0,4835.916666666667,3392.516666666667,12826.0,2022-01-12,0.6203804771557774,下降,下降期,761.0,589.0,430.0,62.9
58,ゴーゴージャグラー2,2026-06-24,2019-09-04,2021-11-17,,110,355,8180.0,10483.5,11216.75,11298.538461538461,11038.788461538461,10852.981818181817,20094.0,25116.25,26368.166666666668,24708.636363636364,3233.0,4661.5,4494.916666666667,3582.7272727272725,13827.0,2020-01-08,0.591596152455341,微減,下降期,631.0,429.0,358.0,68.5
59,サラリーマン金太郎 出世回胴編,2026-06-24,2019-09-04,2021-01-20,,65,355,9769.0,10157.75,8383.5,8072.5,7755.423076923077,7839.276923076923,38370.0,40077.5,34123.25,31650.292307692307,8110.0,7601.75,5878.083333333333,5258.861538461539,11425.0,2021-01-06,0.855054704595186,上昇,成長・高稼働期,693.0,61.0,45.0,78.1
60,スーパービンゴネオ,2026-06-24,2019-09-04,2020-12-23,,58,355,6793.0,6934.5,6639.916666666667,6734.192307692308,6606.557692307692,6550.0344827586205,36038.0,37087.75,35202.0,33116.05172413793,8278.0,7352.0,7325.166666666667,7622.896551724138,10207.0,2020-01-08,0.6655236602331733,微増,成熟期,1228.0,90.0,58.0,60.3
61,スーパービンゴネオ-30,2026-06-24,2019-09-04,2020-06-24,,30,355,8970.0,7361.0,7172.833333333333,7099.538461538462,7132.566666666667,7132.566666666667,36077.0,30205.5,29313.0,29023.7,9496.0,7500.5,7261.083333333333,7048.1,9069.0,2020-01-08,0.9890836916969897,横ばい,成長・高稼働期,1184.0,224.0,48.0,63.7
62,スーパーリノMAX,2026-06-24,2019-09-04,2022-02-09,,119,355,9287.0,9794.75,9282.666666666666,8603.846153846154,8115.403846153846,7902.72268907563,39699.0,44145.0,43127.083333333336,36796.142857142855,3915.0,6228.75,5900.166666666667,5245.176470588235,10915.0,2022-02-02,0.8508474576271187,微増,成長・高稼働期,775.0,40.0,132.0,75.5
63,デジハネCRA聖戦士ダンバイン デジハネver.,2026-06-24,2019-09-04,2021-12-22,,113,355,15940.0,16157.5,16360.833333333334,16526.53846153846,17039.03846153846,17982.389380530974,26938.0,26954.5,27264.083333333332,29469.743362831858,4973.0,5246.5,5162.0,5522.814159292036,22950.0,2020-01-08,0.6945533769063181,横ばい,成熟期,140.0,338.0,245.0,85.2
64,ハッピージャグラーVⅡ,2026-06-24,2019-09-04,2020-03-18,,26,355,7425.0,7823.5,8228.833333333334,8365.923076923076,8365.923076923076,8365.923076923076,16070.0,17100.5,18258.083333333332,19042.615384615383,3572.0,3788.25,4040.5833333333335,3914.230769230769,9842.0,2020-01-08,0.7544198333672018,微減,成熟期,1137.0,1098.0,699.0,46.6
65,バジリスク～甲賀忍法帖～絆,2026-06-24,2019-09-04,2019-12-25,,17,355,17952.0,17051.25,15786.75,15793.117647058823,15793.117647058823,15793.117647058823,48911.0,47998.0,45006.833333333336,44985.41176470588,8032.0,8518.25,7573.0,7414.941176470588,18877.0,2019-12-18,0.9509985696879801,微増,成長・高稼働期,112.0,26.0,28.0,94.9
66,パチスロ トータル・イクリプス,2026-06-24,2019-09-04,2022-02-02,,113,355,11780.0,11388.75,9864.5,8989.807692307691,8390.096153846154,7755.486725663717,37002.0,36379.75,31606.75,25178.353982300883,12769.0,12577.25,9822.166666666666,7567.309734513275,12577.0,2022-01-12,0.9366303570008746,上昇,成長・高稼働期,486.0,100.0,7.0,83.9
67,パチスロ マクロスフロンティア2,2026-06-24,2019-09-04,2020-04-08,,31,355,8991.0,10161.25,10577.083333333334,10438.615384615385,10323.483870967742,10323.483870967742,28378.0,31850.5,33323.666666666664,32362.225806451614,5783.0,7635.5,8003.333333333333,7817.387096774193,14251.0,2020-01-08,0.6309030945196828,微減,下降期,692.0,176.0,43.0,72.9
68,パチスロ モンキーターンⅡ,2026-06-24,2019-09-04,2020-03-11,,25,355,7718.0,9191.25,9511.5,8739.16,8739.16,8739.16,25798.0,30877.5,31990.5,29596.76,3701.0,4657.0,4773.833333333333,4401.16,11948.0,2020-01-08,0.6459658520254435,微減,下降期,894.0,206.0,359.0,65.3
