machine_id,machine_name,machine_name_normalized,first_seen_date,last_seen_date,data_count,days_since_last_seen,weeks_since_last_seen,active_status
1063,P FAIRY TAIL これが七炎竜の力だ FSA,P FAIRY TAIL これが七炎竜の力だ FSA,2024-05-01,2024-09-04,18,658,94.0,準現役
1064,PAハイスクール・フリート オールスター すい～とでハッピー!2400,PAハイスクール・フリート オールスター すい～とでハッピー!2400,2024-05-01,2024-09-04,18,658,94.0,準現役
1066,P牙狼11～冴島大河～XX MU,P牙狼11～冴島大河～XX MU,2024-05-01,2025-01-08,22,532,76.0,準現役
1068,e新・必殺仕置人 超斬撃199,e新・必殺仕置人 超斬撃199,2024-05-01,2024-08-21,16,672,96.0,準現役
1069,パチスロ ダンジョンに出会いを求めるのは間違っているだろうか2,パチスロ ダンジョンに出会いを求めるのは間違っているだろうか2,2024-05-01,2025-09-10,12,287,41.0,準現役
1070,Pこの素晴らしい世界に祝福を! 199LT「このラッキートリガーに祝福を!」,Pこの素晴らしい世界に祝福を! 199LT「このラッキートリガーに祝福を!」,2024-05-08,2024-07-31,13,693,99.0,準現役
1071,L ウルトラマンティガ,L ウルトラマンティガ,2024-05-15,2024-07-10,9,714,102.0,準現役
1073,Lパチスロ 炎炎ノ消防隊(2024年),Lパチスロ 炎炎ノ消防隊(2024年),2024-05-15,2025-09-10,36,287,41.0,準現役
1075,Pゴブリンスレイヤー ラッキートリガーVer,Pゴブリンスレイヤー ラッキートリガーVer,2024-05-15,2024-09-11,17,651,93.0,準現役
1076,Pフィーバー炎炎ノ消防隊 Light ver.,Pフィーバー炎炎ノ消防隊 Light ver.,2024-05-15,2025-01-08,24,532,76.0,準現役
1078,P七つの大罪2 神千斬りVER.,P七つの大罪2 神千斬りVER.,2024-05-15,2024-07-03,7,721,103.0,準現役
1080,ニューパルサーSP4 with 太鼓の達人,ニューパルサーSP4 with 太鼓の達人,2024-05-15,2025-09-10,17,287,41.0,準現役
1081,L ToLOVEるダークネス,L ToLOVEるダークネス,2024-06-12,2025-09-10,59,287,41.0,準現役
1083,Lスマスロ痛いのは嫌なので防御力に極振りしたいと思います。,Lスマスロ痛いのは嫌なので防御力に極振りしたいと思います。,2024-06-12,2025-09-10,42,287,41.0,準現役
1084,L聖闘士星矢 海皇覚醒 CUSTOM EDITION,L聖闘士星矢 海皇覚醒 CUSTOM EDITION,2024-06-12,2026-06-03,26,21,3.0,現役
1085,P ToLOVEるダークネス H1YZ5,P ToLOVEるダークネス H1YZ5,2024-06-12,2024-12-04,24,567,81.0,準現役
1086,Pうる星やつら～Eternal Love Song～ L2-K,Pうる星やつら～Eternal Love Song～ L2-K,2024-06-12,2024-08-28,11,665,95.0,準現役
1087,Pギルティクラウン2 プレミアムライブチケット,Pギルティクラウン2 プレミアムライブチケット,2024-06-12,2024-07-10,5,714,102.0,準現役
1088,Pクイーンズブレイド4 UNLIMITED V1D,Pクイーンズブレイド4 UNLIMITED V1D,2024-06-12,2024-07-31,8,693,99.0,準現役
1089,Pフィーバー三国戦騎 7500,Pフィーバー三国戦騎 7500,2024-06-12,2024-08-06,8,687,98.1,準現役
1090,P頭文字D 2nd GFPG,P頭文字D 2nd GFPG,2024-06-12,2024-06-26,3,728,104.0,準現役
1091,P魔法少女まどか☆マギカ3 LM3,P魔法少女まどか☆マギカ3 LM3,2024-06-12,2024-09-11,13,651,93.0,準現役
1092,P魔王学院の不適合者 FMY,P魔王学院の不適合者 FMY,2024-06-12,2024-08-06,9,687,98.1,準現役
1093,アオハル♪操 A-LIVE,アオハル♪操 A-LIVE,2024-06-12,2025-09-10,17,287,41.0,準現役
1094,Pラブ嬢 ～極嬢のハーレム体験～ H1YZ6,Pラブ嬢 ～極嬢のハーレム体験～ H1YZ6,2024-06-26,2024-11-06,11,595,85.0,準現役
1095,沖ドキ!BLACK,沖ドキ!BLACK,2024-07-10,2026-06-24,98,0,0.0,現役
1096,L アカメが斬る!2,L アカメが斬る!2,2024-07-17,2024-08-06,4,687,98.1,準現役
1097,Lスマスロ真・北斗無双(2024年),Lスマスロ真・北斗無双(2024年),2024-07-17,2025-09-10,11,287,41.0,準現役
1098,Lパチスロ 戦姫絶唱シンフォギア 正義の歌,Lパチスロ 戦姫絶唱シンフォギア 正義の歌,2024-07-17,2025-09-10,15,287,41.0,準現役
1099,Pアズールレーン THE ANIMATION 異次元トリガー M4,Pアズールレーン THE ANIMATION 異次元トリガー M4,2024-07-17,2024-09-11,8,651,93.0,準現役
1100,Pフィーバーありふれた職業で世界最強 Light ver.,Pフィーバーありふれた職業で世界最強 Light ver.,2024-07-17,2024-08-06,4,687,98.1,準現役
1101,P花の慶次～傾奇一転 L-MX,P花の慶次～傾奇一転 L-MX,2024-07-17,2024-09-11,8,651,93.0,準現役
1102,P貞子 FMD,P貞子 FMD,2024-07-17,2025-05-14,42,406,58.0,準現役
1103,e花の慶次～傾奇一転 L2-MX,e花の慶次～傾奇一転 L2-MX,2024-07-17,2024-09-25,10,637,91.0,準現役
1104,ご～やちゃんぷる～-25,ご～やちゃんぷる～-25,2024-07-17,2024-07-31,3,693,99.0,準現役
1105,ご～やちゃんぷる～-30,ご～やちゃんぷる～-30,2024-07-17,2024-07-31,3,693,99.0,準現役
1106,バハマ30(2024年),バハマ30(2024年),2024-07-17,2024-08-06,4,687,98.1,準現役
1107,Lスマスロ ゴッドイーター リザレクション,Lスマスロ ゴッドイーター リザレクション,2024-07-31,2026-01-07,69,168,24.0,準現役
1108,Lスロット ゾンビランドサガ,Lスロット ゾンビランドサガ,2024-07-31,2026-05-06,28,49,7.0,準現役
1109,L賞金首Angel,L賞金首Angel,2024-07-31,2024-08-06,2,687,98.1,準現役
1110,PAこの素晴らしい世界に祝福を! 「このゆる甘99に祝福を!」,PAこの素晴らしい世界に祝福を! 「このゆる甘99に祝福を!」,2024-07-31,2024-09-04,5,658,94.0,準現役
1111,ミスタージャグラー,ミスタージャグラー,2024-07-31,2026-06-24,95,0,0.0,現役
1112,L D4DJ Pachi-Slot Mix,L D4DJ Pachi-Slot Mix,2024-08-21,2024-09-18,5,644,92.0,準現役
1113,Lスマスロ ゲゲゲの鬼太郎 覚醒,Lスマスロ ゲゲゲの鬼太郎 覚醒,2024-08-21,2025-09-10,14,287,41.0,準現役
1114,Lスマスロ トロピカーナ(2024年),Lスマスロ トロピカーナ(2024年),2024-08-21,2024-08-21,1,672,96.0,準現役
1115,Lワンパンマン,Lワンパンマン,2024-08-21,2024-10-02,7,630,90.0,準現役
1116,PAスーパー海物語 IN 地中海2 HLA,PAスーパー海物語 IN 地中海2 HLA,2024-08-21,2024-10-23,9,609,87.0,準現役
1117,Pフィーバー機動戦士ガンダムユニコーン 再来 -白き一角獣と黒き獅子- S,Pフィーバー機動戦士ガンダムユニコーン 再来 -白き一角獣と黒き獅子- S,2024-08-21,2024-10-09,8,623,89.0,準現役
1118,P百花繚乱 ご奉仕129ver.,P百花繚乱 ご奉仕129ver.,2024-08-21,2024-09-11,4,651,93.0,準現役
1119,eフィーバー機動戦士ガンダムユニコーン 再来 -白き一角獣と黒き獅子- R,eフィーバー機動戦士ガンダムユニコーン 再来 -白き一角獣と黒き獅子- R,2024-08-21,2025-03-19,29,462,66.0,準現役
1120,e北斗の拳10 GHEG,e北斗の拳10 GHEG,2024-08-21,2025-01-22,22,518,74.0,準現役
1121,Pドラムだ!金ドン 花火外伝 MP,Pドラムだ!金ドン 花火外伝 MP,2024-08-28,2024-12-04,15,567,81.0,準現役
1122,Pバンドリ! H1YZ4,Pバンドリ! H1YZ4,2024-08-28,2024-11-20,12,581,83.0,準現役
1123,Pリング 呪いの7日間3 ラッキートリガーVer.,Pリング 呪いの7日間3 ラッキートリガーVer.,2024-08-28,2025-01-08,17,532,76.0,準現役
1124,P七つの美徳 ゴールデンエンジェルタイム スイート99Ver.,P七つの美徳 ゴールデンエンジェルタイム スイート99Ver.,2024-08-28,2024-09-18,4,644,92.0,準現役
1125,デジハネP交響詩篇エウレカセブン ANEMONE 99ver.,デジハネP交響詩篇エウレカセブン ANEMONE 99ver.,2024-08-28,2024-10-02,6,630,90.0,準現役
